vize,katilim,final
50,18,26.15
36,26,25.38
18,17,23.39
51,18,29.33
16,50,17.53
31,84,48.09
33,20,30.62
40,96,43.3
43,18,22.89
60,34,47.97
56,12,29.9
77,23,62.43
0,90,22.45
58,7,40.45
93,84,73.43
99,72,87.02
49,44,49.38
80,67,67.34
5,40,13.79
73,91,78.03
84,79,75.64
8,95,40.12
16,90,31.73
94,33,73.48
77,34,50.31
0,29,4.48
25,40,25.47
7,49,26.94
90,82,69.23
29,37,29.52
4,86,31.51
10,66,21.08
9,25,6.94
35,44,44.07
13,65,26.66
16,58,20.98
86,9,57.27
49,61,55.76
75,28,49.34
96,49,73.41
90,37,63.56
74,15,58.2
28,37,36.87
6,98,37.92
86,92,88.52
42,29,39.42
34,15,17.25
95,76,75.9
28,76,33.56
53,86,53.65
17,55,27.39
98,85,81.35
29,71,43.39
57,59,61.74
82,52,67.84
67,62,49.99
93,73,78.97
70,22,46.9
86,15,56.02
41,59,46.68
30,49,23.2
87,75,73.86
77,87,80.46
70,38,62.76
88,79,76.18
56,17,43.39
18,76,37.62
62,54,47.5
30,57,32.25
11,74,32.01
24,30,27.13
19,29,25.87
52,56,39.26
99,53,75.0
32,76,34.99
7,51,18.84
4,44,20.79
24,11,17.49
20,16,24.56
61,52,47.53
89,34,66.49
79,64,75.9
83,62,74.19
95,78,74.66
9,78,32.35
86,32,61.54
17,47,24.68
55,66,49.78
100,29,75.19
69,37,57.15
92,75,85.83
36,43,40.55
11,5,17.56
63,74,57.81
67,87,65.72
43,38,29.57
98,73,89.22
31,25,24.2
85,53,69.01
48,35,36.85
33,93,46.7
64,21,35.79
28,91,40.76
11,37,26.48
67,16,51.86
31,20,32.51
79,13,42.32
7,47,12.68
25,90,51.77
85,65,60.86
65,3,45.56
11,3,16.2
8,35,13.89
95,69,87.2
69,81,71.31
98,99,97.66
61,39,43.14
16,39,27.32
27,47,29.23
44,0,25.45
13,14,4.69
69,42,58.92
93,22,57.77
2,3,0.0
43,90,48.77
48,19,32.75
97,9,66.76
83,2,53.09
16,0,3.4
29,29,29.84
44,22,40.28
57,33,45.19
85,8,55.89
36,80,42.37
28,71,47.24
37,82,43.08
36,30,20.98
66,4,46.14
21,91,43.84
46,71,39.39
65,94,68.48
12,25,22.33
27,93,36.38
92,80,88.09
70,89,74.87
89,47,70.75
61,53,61.7
1,56,11.89
93,29,59.35
90,72,76.57
75,74,60.86
59,76,57.55
24,5,17.39
0,90,19.79
57,12,29.71
84,3,56.48
10,28,16.84
98,7,54.09
69,13,50.29
57,66,53.55
31,14,16.69
56,52,58.98
42,97,53.83
10,22,6.53
26,60,24.15
21,35,23.09
37,24,32.48
41,71,37.24
49,19,28.92
59,31,41.29
77,87,77.36
29,62,45.8
64,20,39.99
12,65,25.86
28,30,24.39
88,78,71.38
48,90,60.31
46,24,34.21
80,65,64.91
42,74,40.5
60,79,58.43
89,24,58.54
64,50,44.66
60,75,55.49
55,63,56.06
3,73,21.46
88,49,71.33
2,6,5.64
100,99,80.98
14,69,21.19
47,26,34.78
99,2,53.56
90,2,56.58
95,81,86.98
85,54,74.43
56,39,48.29
99,37,64.26
76,39,50.68
31,21,31.61
94,5,57.45
61,64,56.31
9,21,6.92
89,52,64.69
26,53,23.7
49,28,36.6
77,58,57.48
34,10,24.9
5,6,0.0
29,93,54.64
54,0,24.07
9,19,14.82
50,1,22.07
89,14,66.36
24,19,13.37
3,65,26.14
44,13,34.38
3,1,2.68
91,92,83.9
16,48,15.49
91,53,62.06
88,60,73.17
34,82,52.05
81,67,61.57
17,76,38.45
1,13,0.0
69,98,77.17
77,72,64.8
51,46,51.51
30,43,40.55
6,53,17.7
0,14,9.63
18,55,23.76
49,76,43.49
69,28,51.23
23,46,26.97
100,5,66.51
39,17,34.6
42,23,22.6
88,9,49.71
74,64,61.03
65,78,61.99
44,50,35.89
53,11,32.23
73,97,72.28
75,69,59.83
42,17,39.08
64,17,51.91
57,59,61.1
12,84,29.68
27,83,47.25
42,54,39.35
8,22,12.42
78,28,53.6
